 ****************** Start WS v. 1.61 at 2014-10-14 09:05:28 ******************
 
 Wiggler A at APS
 energy   7.000 GeV   current 100.0 mA
 period   8.500  cm   N        28.0      Kx      0.000      Ky      8.740
 emin    1000.0  eV   emax 100000.0 eV   ne       2000
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      2.000  mm   yps     2.000 mm   nxp        10      nyp        10
 
 b0       1.101   T   ec0    35.884  keV
 e1      139.67  eV   l1     88.767  A
 ptot    8947.6   W   pd       89.1  W/mm^2
 
 Flux through   2.000 mm x  2.000 mm pinhole at  0.000 mm,  0.000 mm @ 30.000 m:
 Integrated flux   6.642E+16 ph/s
 Integrated power     262.21 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)    p1      p2      p3      p4
  12638.319   1.936604E+013     0.940   0.000   0.000   0.060
  12687.844   1.939655E+013     0.940   0.000   0.000   0.060
  12737.369   1.942690E+013     0.940   0.000   0.000   0.060
  12786.893   1.945708E+013     0.940   0.000   0.000   0.060
  12836.418   1.948709E+013     0.940   0.000   0.000   0.060
  12885.943   1.951694E+013     0.940   0.000   0.000   0.060
  12935.468   1.954662E+013     0.940   0.000   0.000   0.060
  12984.992   1.957613E+013     0.940   0.000   0.000   0.060
  13034.517   1.960548E+013     0.939   0.000   0.000   0.061
  13084.042   1.963467E+013     0.939   0.000   0.000   0.061
  13133.567   1.966370E+013     0.939   0.000   0.000   0.061
  13183.092   1.969256E+013     0.939   0.000   0.000   0.061
  13232.616   1.972126E+013     0.939   0.000   0.000   0.061
  13282.141   1.974981E+013     0.939   0.000   0.000   0.061
  13331.666   1.977819E+013     0.939   0.000   0.000   0.061
  13381.191   1.980641E+013     0.939   0.000   0.000   0.061
  13430.715   1.983447E+013     0.939   0.000   0.000   0.061
  13480.240   1.986238E+013     0.939   0.000   0.000   0.061
  13529.765   1.989012E+013     0.939   0.000   0.000   0.061
  13579.290   1.991771E+013     0.939   0.000   0.000   0.061
  13628.814   1.994515E+013     0.939   0.000   0.000   0.061
  13678.339   1.997243E+013     0.938   0.000   0.000   0.062
  13727.864   1.999955E+013     0.938   0.000   0.000   0.062
  13777.389   2.002652E+013     0.938   0.000   0.000   0.062
  13826.913   2.005333E+013     0.938   0.000   0.000   0.062
  13876.438   2.007999E+013     0.938   0.000   0.000   0.062
  13925.963   2.010650E+013     0.938   0.000   0.000   0.062
  13975.488   2.013286E+013     0.938   0.000   0.000   0.062
  14025.013   2.015906E+013     0.938   0.000   0.000   0.062
  14074.537   2.018512E+013     0.938   0.000   0.000   0.062
  14124.062   2.021102E+013     0.938   0.000   0.000   0.062
  14173.587   2.023677E+013     0.938   0.000   0.000   0.062
