 ****************** Start US v. 1.94 at 2015-05-07 12:21:22 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA   sige   0.0000000
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    9972.1  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      3.000  mm   yps     3.000 mm   nxp        20      nyp        40
 mode         6       method      1      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Power density distribution @  30.000 m (W/mm^2):
 
 Integrated power     4955.5 W
 Contributing harmonics    1 to   26
 
    x(mm)      y(mm)     Power density       p1      p2      p3      p4
    0.2250     0.6375    6.089317E+02     0.927  -0.005   0.000   0.073
    0.2250     0.6750    6.005594E+02     0.920  -0.005   0.000   0.080
    0.2250     0.7125    5.919100E+02     0.912  -0.005   0.000   0.088
    0.2250     0.7500    5.829250E+02     0.904  -0.005   0.000   0.096
    0.2250     0.7875    5.736609E+02     0.896  -0.006   0.000   0.104
    0.2250     0.8250    5.641535E+02     0.887  -0.006   0.000   0.113
    0.2250     0.8625    5.544199E+02     0.879  -0.006   0.000   0.121
    0.2250     0.9000    5.444508E+02     0.870  -0.006   0.000   0.130
    0.2250     0.9375    5.342908E+02     0.861  -0.007   0.000   0.139
    0.2250     0.9750    5.239846E+02     0.852  -0.007   0.000   0.148
    0.2250     1.0125    5.135312E+02     0.844  -0.007   0.000   0.156
    0.2250     1.0500    5.029585E+02     0.835  -0.007   0.000   0.165
    0.2250     1.0875    4.922737E+02     0.826  -0.008   0.000   0.174
    0.2250     1.1250    4.815402E+02     0.817  -0.008   0.000   0.183
    0.2250     1.1625    4.707429E+02     0.808  -0.008   0.000   0.192
    0.2250     1.2000    4.599068E+02     0.799  -0.008   0.000   0.201
    0.2250     1.2375    4.490682E+02     0.790  -0.009   0.000   0.210
    0.2250     1.2750    4.382405E+02     0.781  -0.009   0.000   0.219
    0.2250     1.3125    4.274122E+02     0.773  -0.009   0.000   0.227
