 ****************** Start US v. 1.94 at 2015-05-07 12:21:22 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA   sige   0.0000000
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    9972.1  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      3.000  mm   yps     3.000 mm   nxp        20      nyp        40
 mode         6       method      1      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Power density distribution @  30.000 m (W/mm^2):
 
 Integrated power     4955.5 W
 Contributing harmonics    1 to   26
 
    x(mm)      y(mm)     Power density       p1      p2      p3      p4
    1.2000     0.4500    6.144806E+02     0.962  -0.011   0.000   0.038
    1.2000     0.4875    6.083383E+02     0.956  -0.011   0.000   0.044
    1.2000     0.5250    6.017810E+02     0.949  -0.012   0.000   0.050
    1.2000     0.5625    5.948464E+02     0.943  -0.013   0.000   0.057
    1.2000     0.6000    5.875352E+02     0.936  -0.014   0.000   0.064
    1.2000     0.6375    5.798627E+02     0.929  -0.015   0.000   0.071
    1.2000     0.6750    5.718782E+02     0.922  -0.016   0.000   0.078
    1.2000     0.7125    5.635533E+02     0.914  -0.017   0.000   0.086
    1.2000     0.7500    5.549714E+02     0.906  -0.018   0.000   0.094
    1.2000     0.7875    5.460973E+02     0.898  -0.018   0.000   0.102
    1.2000     0.8250    5.369735E+02     0.890  -0.019   0.000   0.110
    1.2000     0.8625    5.276462E+02     0.881  -0.020   0.000   0.118
    1.2000     0.9000    5.181083E+02     0.873  -0.021   0.000   0.127
    1.2000     0.9375    5.083826E+02     0.864  -0.022   0.000   0.135
    1.2000     0.9750    4.985215E+02     0.856  -0.023   0.000   0.144
    1.2000     1.0125    4.885217E+02     0.847  -0.024   0.000   0.153
    1.2000     1.0500    4.783931E+02     0.838  -0.025   0.000   0.161
    1.2000     1.0875    4.681868E+02     0.830  -0.025   0.000   0.170
    1.2000     1.1250    4.579023E+02     0.821  -0.026   0.000   0.179
    1.2000     1.1625    4.475821E+02     0.812  -0.027   0.000   0.187
    1.2000     1.2000    4.372219E+02     0.804  -0.028   0.000   0.196
    1.2000     1.2375    4.268393E+02     0.795  -0.029   0.000   0.205
    1.2000     1.2750    4.164987E+02     0.786  -0.030   0.000   0.213
    1.2000     1.3125    4.061429E+02     0.778  -0.031   0.000   0.222
    1.2000     1.3500    3.957920E+02     0.769  -0.032   0.000   0.230
    1.2000     1.3875    3.853975E+02     0.761  -0.033   0.000   0.238
    1.2000     1.4250    3.747926E+02     0.753  -0.034   0.000   0.246
    1.2000     1.4625    3.636382E+02     0.745  -0.034   0.000   0.254
    1.2000     1.5000    3.513398E+02     0.737  -0.035   0.000   0.262
    1.2750     0.0000    6.458422E+02     0.997  -0.002   0.000   0.003
    1.2750     0.0375    6.456318E+02     0.997  -0.002   0.000   0.003
    1.2750     0.0750    6.448449E+02     0.996  -0.003   0.000   0.004
    1.2750     0.1125    6.435158E+02     0.995  -0.003   0.000   0.005
    1.2750     0.1500    6.416914E+02     0.993  -0.004   0.000   0.007
    1.2750     0.1875    6.393556E+02     0.991  -0.005   0.000   0.009
    1.2750     0.2250    6.365070E+02     0.988  -0.006   0.000   0.012
    1.2750     0.2625    6.331525E+02     0.985  -0.007   0.000   0.015
    1.2750     0.3000    6.293197E+02     0.981  -0.008   0.000   0.019
    1.2750     0.3375    6.250081E+02     0.977  -0.009   0.000   0.023
    1.2750     0.3750    6.202333E+02     0.972  -0.010   0.000   0.028
    1.2750     0.4125    6.149569E+02     0.967  -0.011   0.000   0.033
    1.2750     0.4500    6.093273E+02     0.962  -0.011   0.000   0.038
    1.2750     0.4875    6.032278E+02     0.956  -0.012   0.000   0.044
    1.2750     0.5250    5.967056E+02     0.950  -0.013   0.000   0.050
    1.2750     0.5625    5.898360E+02     0.943  -0.014   0.000   0.057
    1.2750     0.6000    5.825761E+02     0.936  -0.015   0.000   0.064
    1.2750     0.6375    5.749706E+02     0.929  -0.016   0.000   0.071
    1.2750     0.6750    5.670271E+02     0.922  -0.017   0.000   0.078
    1.2750     0.7125    5.587846E+02     0.914  -0.018   0.000   0.086
    1.2750     0.7500    5.502552E+02     0.906  -0.019   0.000   0.093
    1.2750     0.7875    5.414538E+02     0.898  -0.020   0.000   0.101
    1.2750     0.8250    5.323880E+02     0.890  -0.021   0.000   0.110
    1.2750     0.8625    5.231568E+02     0.882  -0.022   0.000   0.118
    1.2750     0.9000    5.136878E+02     0.873  -0.023   0.000   0.126
    1.2750     0.9375    5.040151E+02     0.865  -0.024   0.000   0.135
    1.2750     0.9750    4.942555E+02     0.856  -0.025   0.000   0.143
    1.2750     1.0125    4.843159E+02     0.848  -0.026   0.000   0.152
    1.2750     1.0500    4.742817E+02     0.839  -0.027   0.000   0.161
    1.2750     1.0875    4.641464E+02     0.830  -0.028   0.000   0.169
    1.2750     1.1250    4.539502E+02     0.821  -0.029   0.000   0.178
    1.2750     1.1625    4.437043E+02     0.813  -0.029   0.000   0.187
    1.2750     1.2000    4.334209E+02     0.804  -0.030   0.000   0.195
    1.2750     1.2375    4.231309E+02     0.795  -0.031   0.000   0.204
    1.2750     1.2750    4.128713E+02     0.787  -0.032   0.000   0.212
    1.2750     1.3125    4.025982E+02     0.778  -0.033   0.000   0.221
    1.2750     1.3500    3.923203E+02     0.770  -0.034   0.000   0.229
    1.2750     1.3875    3.820193E+02     0.762  -0.035   0.000   0.237
    1.2750     1.4250    3.714867E+02     0.754  -0.036   0.000   0.246
    1.2750     1.4625    3.604328E+02     0.746  -0.037   0.000   0.253
    1.2750     1.5000    3.482367E+02     0.738  -0.038   0.000   0.261
    1.3500     0.0000    6.395904E+02     0.997  -0.003   0.000   0.003
    1.3500     0.0375    6.393799E+02     0.997  -0.003   0.000   0.003
    1.3500     0.0750    6.385799E+02     0.996  -0.003   0.000   0.004
    1.3500     0.1125    6.372777E+02     0.995  -0.004   0.000   0.005
    1.3500     0.1500    6.354890E+02     0.993  -0.004   0.000   0.007
    1.3500     0.1875    6.331541E+02     0.991  -0.005   0.000   0.009
    1.3500     0.2250    6.303320E+02     0.988  -0.006   0.000   0.012
    1.3500     0.2625    6.270329E+02     0.985  -0.007   0.000   0.015
    1.3500     0.3000    6.231988E+02     0.981  -0.008   0.000   0.019
    1.3500     0.3375    6.189342E+02     0.977  -0.009   0.000   0.023
    1.3500     0.3750    6.142045E+02     0.972  -0.010   0.000   0.028
    1.3500     0.4125    6.089766E+02     0.967  -0.011   0.000   0.033
    1.3500     0.4500    6.033863E+02     0.962  -0.012   0.000   0.038
    1.3500     0.4875    5.973424E+02     0.956  -0.013   0.000   0.044
    1.3500     0.5250    5.908891E+02     0.950  -0.014   0.000   0.050
    1.3500     0.5625    5.840836E+02     0.943  -0.015   0.000   0.057
    1.3500     0.6000    5.768774E+02     0.936  -0.016   0.000   0.063
    1.3500     0.6375    5.693407E+02     0.929  -0.017   0.000   0.070
    1.3500     0.6750    5.614941E+02     0.922  -0.019   0.000   0.078
    1.3500     0.7125    5.532979E+02     0.914  -0.020   0.000   0.085
    1.3500     0.7500    5.448468E+02     0.907  -0.021   0.000   0.093
    1.3500     0.7875    5.361347E+02     0.899  -0.022   0.000   0.101
    1.3500     0.8250    5.271506E+02     0.890  -0.023   0.000   0.109
    1.3500     0.8625    5.179861E+02     0.882  -0.024   0.000   0.117
    1.3500     0.9000    5.086045E+02     0.874  -0.025   0.000   0.126
    1.3500     0.9375    4.990347E+02     0.865  -0.026   0.000   0.134
    1.3500     0.9750    4.893543E+02     0.857  -0.027   0.000   0.143
    1.3500     1.0125    4.795044E+02     0.848  -0.028   0.000   0.151
    1.3500     1.0500    4.695559E+02     0.839  -0.029   0.000   0.160
    1.3500     1.0875    4.595349E+02     0.831  -0.030   0.000   0.169
    1.3500     1.1250    4.494120E+02     0.822  -0.031   0.000   0.177
    1.3500     1.1625    4.392639E+02     0.813  -0.032   0.000   0.186
    1.3500     1.2000    4.290880E+02     0.805  -0.033   0.000   0.195
    1.3500     1.2375    4.188776E+02     0.796  -0.034   0.000   0.203
    1.3500     1.2750    4.087079E+02     0.788  -0.035   0.000   0.212
    1.3500     1.3125    3.985358E+02     0.779  -0.036   0.000   0.220
    1.3500     1.3500    3.883460E+02     0.771  -0.037   0.000   0.228
    1.3500     1.3875    3.781512E+02     0.762  -0.038   0.000   0.237
    1.3500     1.4250    3.677110E+02     0.754  -0.039   0.000   0.245
    1.3500     1.4625    3.567624E+02     0.746  -0.040   0.000   0.252
    1.3500     1.5000    3.446861E+02     0.739  -0.041   0.000   0.260
    1.4250     0.0000    6.323073E+02     0.997  -0.003   0.000   0.003
    1.4250     0.0375    6.320859E+02     0.997  -0.003   0.000   0.003
    1.4250     0.0750    6.312948E+02     0.996  -0.003   0.000   0.004
    1.4250     0.1125    6.300097E+02     0.995  -0.004   0.000   0.005
    1.4250     0.1500    6.282247E+02     0.993  -0.005   0.000   0.007
    1.4250     0.1875    6.259269E+02     0.991  -0.006   0.000   0.009
    1.4250     0.2250    6.231242E+02     0.988  -0.007   0.000   0.012
    1.4250     0.2625    6.198500E+02     0.985  -0.008   0.000   0.015
    1.4250     0.3000    6.160787E+02     0.981  -0.009   0.000   0.019
    1.4250     0.3375    6.118532E+02     0.977  -0.010   0.000   0.023
    1.4250     0.3750    6.071668E+02     0.972  -0.011   0.000   0.028
    1.4250     0.4125    6.020217E+02     0.967  -0.012   0.000   0.033
    1.4250     0.4500    5.964711E+02     0.962  -0.013   0.000   0.038
    1.4250     0.4875    5.904873E+02     0.956  -0.014   0.000   0.044
    1.4250     0.5250    5.841090E+02     0.950  -0.016   0.000   0.050
    1.4250     0.5625    5.773614E+02     0.943  -0.017   0.000   0.056
    1.4250     0.6000    5.702443E+02     0.937  -0.018   0.000   0.063
    1.4250     0.6375    5.627772E+02     0.930  -0.019   0.000   0.070
    1.4250     0.6750    5.550103E+02     0.922  -0.020   0.000   0.078
    1.4250     0.7125    5.469083E+02     0.915  -0.021   0.000   0.085
    1.4250     0.7500    5.385501E+02     0.907  -0.022   0.000   0.093
    1.4250     0.7875    5.299263E+02     0.899  -0.023   0.000   0.101
    1.4250     0.8250    5.210496E+02     0.891  -0.024   0.000   0.109
    1.4250     0.8625    5.119698E+02     0.883  -0.025   0.000   0.117
    1.4250     0.9000    5.027011E+02     0.874  -0.026   0.000   0.125
    1.4250     0.9375    4.932410E+02     0.866  -0.028   0.000   0.134
    1.4250     0.9750    4.836445E+02     0.857  -0.029   0.000   0.142
    1.4250     1.0125    4.739122E+02     0.849  -0.030   0.000   0.151
    1.4250     1.0500    4.640628E+02     0.840  -0.031   0.000   0.160
    1.4250     1.0875    4.541416E+02     0.831  -0.032   0.000   0.168
    1.4250     1.1250    4.441393E+02     0.823  -0.033   0.000   0.177
    1.4250     1.1625    4.341032E+02     0.814  -0.034   0.000   0.185
    1.4250     1.2000    4.240349E+02     0.805  -0.035   0.000   0.194
    1.4250     1.2375    4.139451E+02     0.797  -0.036   0.000   0.202
    1.4250     1.2750    4.038726E+02     0.788  -0.037   0.000   0.211
    1.4250     1.3125    3.938250E+02     0.780  -0.039   0.000   0.219
    1.4250     1.3500    3.837523E+02     0.771  -0.040   0.000   0.228
    1.4250     1.3875    3.736587E+02     0.763  -0.041   0.000   0.236
    1.4250     1.4250    3.633411E+02     0.755  -0.042   0.000   0.244
    1.4250     1.4625    3.525105E+02     0.747  -0.043   0.000   0.252
    1.4250     1.5000    3.405683E+02     0.740  -0.044   0.000   0.259
    1.5000     0.0000    6.237126E+02     0.997  -0.003   0.000   0.003
    1.5000     0.0375    6.235177E+02     0.997  -0.003   0.000   0.003
    1.5000     0.0750    6.227715E+02     0.996  -0.004   0.000   0.004
    1.5000     0.1125    6.214810E+02     0.995  -0.004   0.000   0.005
    1.5000     0.1500    6.197013E+02     0.993  -0.005   0.000   0.007
    1.5000     0.1875    6.174475E+02     0.991  -0.006   0.000   0.009
    1.5000     0.2250    6.146889E+02     0.988  -0.007   0.000   0.012
    1.5000     0.2625    6.114321E+02     0.985  -0.008   0.000   0.015
    1.5000     0.3000    6.077278E+02     0.981  -0.010   0.000   0.019
    1.5000     0.3375    6.035612E+02     0.977  -0.011   0.000   0.023
    1.5000     0.3750    5.989220E+02     0.972  -0.012   0.000   0.027
    1.5000     0.4125    5.938214E+02     0.967  -0.013   0.000   0.032
    1.5000     0.4500    5.883700E+02     0.962  -0.014   0.000   0.038
    1.5000     0.4875    5.824661E+02     0.956  -0.015   0.000   0.044
    1.5000     0.5250    5.761539E+02     0.950  -0.017   0.000   0.050
    1.5000     0.5625    5.694913E+02     0.944  -0.018   0.000   0.056
    1.5000     0.6000    5.624703E+02     0.937  -0.019   0.000   0.063
    1.5000     0.6375    5.551067E+02     0.930  -0.020   0.000   0.070
    1.5000     0.6750    5.474092E+02     0.923  -0.021   0.000   0.077
    1.5000     0.7125    5.394368E+02     0.915  -0.023   0.000   0.085
    1.5000     0.7500    5.311803E+02     0.907  -0.024   0.000   0.092
    1.5000     0.7875    5.226565E+02     0.899  -0.025   0.000   0.100
    1.5000     0.8250    5.138892E+02     0.891  -0.026   0.000   0.108
    1.5000     0.8625    5.049532E+02     0.883  -0.027   0.000   0.117
    1.5000     0.9000    4.957915E+02     0.875  -0.028   0.000   0.125
    1.5000     0.9375    4.864309E+02     0.866  -0.030   0.000   0.133
    1.5000     0.9750    4.769736E+02     0.858  -0.031   0.000   0.142
    1.5000     1.0125    4.673759E+02     0.849  -0.032   0.000   0.150
    1.5000     1.0500    4.576583E+02     0.840  -0.033   0.000   0.159
    1.5000     1.0875    4.478459E+02     0.832  -0.034   0.000   0.168
    1.5000     1.1250    4.379870E+02     0.823  -0.035   0.000   0.176
    1.5000     1.1625    4.280772E+02     0.815  -0.037   0.000   0.185
    1.5000     1.2000    4.181312E+02     0.806  -0.038   0.000   0.193
    1.5000     1.2375    4.081780E+02     0.797  -0.039   0.000   0.202
    1.5000     1.2750    3.982587E+02     0.789  -0.040   0.000   0.210
    1.5000     1.3125    3.883213E+02     0.780  -0.041   0.000   0.218
    1.5000     1.3500    3.783704E+02     0.772  -0.043   0.000   0.227
    1.5000     1.3875    3.684161E+02     0.764  -0.044   0.000   0.235
    1.5000     1.4250    3.582474E+02     0.756  -0.045   0.000   0.243
    1.5000     1.4625    3.475617E+02     0.748  -0.046   0.000   0.251
    1.5000     1.5000    3.357717E+02     0.740  -0.047   0.000   0.258
