 ****** URGENT - Version 3.0 ******

 UNDULATOR : PERIOD = 0.01800  KX =  0.0000  KY =  1.6800  PHASE =    0.0  N = 222

 PHOTON ENERGY RANGE : MIN =      0.000  MAX =      0.000  N =    0

 ELECTRON BEAM : ENERGY =  6.040  CURRENT = 0.200
 SIGX = 0.3950  SIGY = 0.0099  SIGX1 = 0.0105  SIGY1 = 0.0039

 ACCEPTANCE : D =   30.000  XCENTRE =   0.000  YCENTRE =   0.000
 XSIZE =   3.000  YSIZE =   3.000  NXP = 40  NYP = 40

 MODE = 6  ICALC = 1  IHARM =  -200
 NPHI =   0 NSIG =   4 NALPHA =   0 DALPHA =  0.0 NOMEGA =    0 DOMEGA =  0.0

 E1 =   7982.253 EV  LAMDA1 =      1.553 ANGSTROM
 TOTAL POWER =  18413.693 WATTS  POWER DENSITY = 624334.787 WATTS/MRAD**2

 UNITS :
 IRRADIANCE -               PHOTONS/S/MM**2/0.1%BW
 ANGULAR FLUX DENSITY -     PHOTONS/S/MRAD**2/0.1%BW
 BRIGHTNESS -               PHOTONS/S/MRAD*2/MM**2/0.1%BW
 FLUX -                     PHOTONS/S/0.1%BW
 (SPECTRAL) POWER DENSITY - WATTS/MM**2 OR MRAD**2(/EV)
 (SPECTRAL) POWER -         WATTS(/EV)



    0.112     0.300   0.667830D+03   0.186818D+18
    0.112     0.337   0.663285D+03   0.186270D+18
    0.112     0.375   0.658251D+03   0.185661D+18
    0.112     0.412   0.652653D+03   0.184966D+18
    0.112     0.450   0.646670D+03   0.184228D+18
    0.112     0.487   0.640216D+03   0.183424D+18
    0.112     0.525   0.633309D+03   0.182553D+18
    0.112     0.562   0.626077D+03   0.181644D+18
    0.112     0.600   0.618330D+03   0.180641D+18
    0.112     0.637   0.610280D+03   0.179602D+18
    0.112     0.675   0.601942D+03   0.178520D+18
    0.112     0.713   0.593126D+03   0.177339D+18
    0.112     0.750   0.584100D+03   0.176135D+18
    0.112     0.787   0.574875D+03   0.174899D+18
    0.112     0.825   0.565219D+03   0.173561D+18
    0.112     0.862   0.555454D+03   0.172211D+18
    0.112     0.900   0.545449D+03   0.170803D+18
    0.112     0.938   0.535224D+03   0.169338D+18
    0.112     0.975   0.524949D+03   0.167865D+18
    0.112     1.012   0.514375D+03   0.166300D+18
    0.112     1.050   0.503753D+03   0.164715D+18
    0.112     1.087   0.493127D+03   0.163119D+18
    0.112     1.125   0.482304D+03   0.161448D+18
    0.112     1.162   0.471464D+03   0.159752D+18
    0.112     1.200   0.460650D+03   0.158042D+18
    0.112     1.238   0.449741D+03   0.156274D+18
    0.112     1.275   0.438893D+03   0.154494D+18
    0.112     1.312   0.428057D+03   0.152683D+18
    0.112     1.350   0.417249D+03   0.150843D+18
    0.112     1.387   0.406529D+03   0.148989D+18
    0.112     1.425   0.395873D+03   0.147112D+18
    0.112     1.462   0.385294D+03   0.145212D+18
    0.112     1.500   0.374872D+03   0.143313D+18
    0.150     0.000   0.685093D+03   0.188790D+18
    0.150     0.037   0.684901D+03   0.188783D+18
    0.150     0.075   0.684069D+03   0.188684D+18
    0.150     0.112   0.682629D+03   0.188505D+18
    0.150     0.150   0.680736D+03   0.188288D+18
    0.150     0.188   0.678299D+03   0.188004D+18
    0.150     0.225   0.675268D+03   0.187638D+18
    0.150     0.263   0.671758D+03   0.187224D+18
    0.150     0.300   0.667672D+03   0.186728D+18
    0.150     0.337   0.663092D+03   0.186170D+18
    0.150     0.375   0.658029D+03   0.185553D+18
    0.150     0.412   0.652495D+03   0.184876D+18
    0.150     0.450   0.646481D+03   0.184130D+18
    0.150     0.487   0.640028D+03   0.183326D+18
    0.150     0.525   0.633160D+03   0.182465D+18
    0.150     0.562   0.625855D+03   0.181536D+18
    0.150     0.600   0.618172D+03   0.180552D+18
    0.150     0.637   0.610138D+03   0.179516D+18
    0.150     0.675   0.601762D+03   0.178424D+18
    0.150     0.713   0.592993D+03   0.177259D+18
    0.150     0.750   0.583986D+03   0.176058D+18
    0.150     0.787   0.574655D+03   0.174790D+18
    0.150     0.825   0.565042D+03   0.173465D+18
    0.150     0.862   0.555291D+03   0.172120D+18
    0.150     0.900   0.545288D+03   0.170713D+18
    0.150     0.938   0.535054D+03   0.169245D+18
    0.150     0.975   0.524731D+03   0.167759D+18
    0.150     1.012   0.514243D+03   0.166219D+18
    0.150     1.050   0.503622D+03   0.164633D+18
    0.150     1.087   0.492974D+03   0.163032D+18
    0.150     1.125   0.482181D+03   0.161370D+18
    0.150     1.162   0.471346D+03   0.159674D+18
    0.150     1.200   0.460505D+03   0.157957D+18
    0.150     1.238   0.449623D+03   0.156198D+18
    0.150     1.275   0.438757D+03   0.154411D+18
    0.150     1.312   0.427922D+03   0.152601D+18
    0.150     1.350   0.417159D+03   0.150776D+18
    0.150     1.387   0.406402D+03   0.148910D+18
    0.150     1.425   0.395747D+03   0.147033D+18
    0.150     1.462   0.385196D+03   0.145142D+18
    0.150     1.500   0.374751D+03   0.143236D+18
    0.188     0.000   0.684891D+03   0.188675D+18
    0.188     0.037   0.684680D+03   0.188662D+18
    0.188     0.075   0.683885D+03   0.188574D+18
    0.188     0.112   0.682398D+03   0.188381D+18
    0.188     0.150   0.680486D+03   0.188159D+18
    0.188     0.188   0.678086D+03   0.187885D+18
    0.188     0.225   0.675008D+03   0.187508D+18
    0.188     0.263   0.671404D+03   0.187067D+18
    0.188     0.300   0.667465D+03   0.186611D+18
    0.188     0.337   0.662837D+03   0.186040D+18
    0.188     0.375   0.657745D+03   0.185416D+18
    0.188     0.412   0.652293D+03   0.184760D+18
    0.188     0.450   0.646203D+03   0.183994D+18
    0.188     0.487   0.639780D+03   0.183198D+18
    0.188     0.525   0.632959D+03   0.182350D+18
    0.188     0.562   0.625588D+03   0.181403D+18
    0.188     0.600   0.617930D+03   0.180426D+18
    0.188     0.637   0.609941D+03   0.179402D+18
    0.188     0.675   0.601479D+03   0.178285D+18
    0.188     0.713   0.592759D+03   0.177135D+18
    0.188     0.750   0.583794D+03   0.175946D+18
    0.188     0.787   0.574435D+03   0.174670D+18
